Name of the property,Latitude,Longitude
Palladium Hotel Menorca,40.019565,4.18183
wecamp Cabo de Gata,36.872611,-2.003333
Pensión Cádiz,36.531773,-6.2943588000000545
Grupotel Molins,39.92024053838892,3.0572086572647095
Loop INN Hostel Cartagena,37.6029628045873,-0.979184657335281
Hotel Rural Era de la Corte - Adults only,28.411426707011305,-14.011709690093994
wecamp Santa Cristina,41.80476306733482,3.0092541240539683
Grupotel Farrutx,39.767735448818215,3.1484466791152954
Grupotel Maritimo,39.816424613126976,3.113761649806035
Hotel Nereida,42.05161395170931,3.191881701350212
Casa Bella Lucía,28.1250305,-15.5575598
Grupotel Ibiza Beach Resort - Adults Only,39.1091015,1.5105488000000378
B&B HOTEL Santiago Milladoiro,42.84929218968,-8.58302517261
El Somni Ibiza Dream Hotel by Grupotel,39.07634909906802,1.5920063853263855
Grupotel Playa Camp de Mar - Adults Only,39.5385197,2.4223862
BAH Barcelona Airport Hotel,41.31798982107613,2.0742541551589966
Complejo O Piñeiral A Fonsagrada,43.10778799495144,-7.094327509403229
Hotel Montecarlo Spa & Wellness,42.26199206422413,3.1532662734389305
Hotel Santa Cecilia,38.98190743971843,-3.9286932349205017
Hotel Condesa,39.817639383305966,3.1158328051969875
Hotel Porta Fira 4* Sup,41.35460097318398,2.1255487203598022
Hotel Restaurante Doña Anita,39.48600027073151,-1.1010843515396118
Puerto Antilla Grand Hotel,37.20683632146742,-7.230665534734726
Posada De Gaspar,42.482504,-6.286096
Hotel Cap Roig & Spa by Brava Hoteles,41.827929528769296,3.0835090577602386
Hotel Nou Sant Antoni,40.0024502722957,3.83902809999995
Finca Elements,36.879421350789,-4.26440309369
Mon Port Hotel & Spa,39.54977692270185,2.3811498284339905
Port Azafata Valencia,39.488051685016735,-0.4686342179775238
Hotel Palacio Albacete & SPA,39.01324223430448,-1.8703794479370117
Hotel Sa Franquesa Nova,39.544095412205756,3.1379444897174835
Albergue San Anton,42.914803900131766,-8.017138838768005
Hotel Rural Sierra de Francia,40.43764185417963,-6.033198862426761
Grupotel Orient,39.5146483481176,2.75307297706604
Apartamentos Apartour Bormujos,37.3813673,-6.0687881
Hotel Cerro La Nina,43.356209,-5.01272
La Casona Canaria Boutique Home B & B,27.902373329353907,-15.448260840826661
Hotel & Restaurante Peña,42.73792133474141,0.7559940218925476
Catalonia del Mar - Adults Only,39.615168667098935,3.3920609951019287
Hostal Rural La Fonda Del Rocio,37.13034170164589,-6.480579078197479
Monnaber Nou Finca Hotel & Spa,39.79290458223583,2.952275276184082
Santa Rita Rita B&B,39.96067458127514,-4.831182468682478
Radisson Blu Resort Gran Canaria,27.77220933925787,-15.690920054912567
Grupotel Los Príncipes & Spa,39.81348916360106,3.1151068210601807
B&B HOTEL Donostia Aeropuerto,43.312938331938916,-1.878287087965873
Barceló Portinatx - Adults Only,39.113159330757135,1.520332396030426
Executive Sport,37.77509588602204,-1.4535701276690816
Apartamentos Sureda,39.65734398894875,3.438093066215515
Casa Bambu-ApartResort,36.80026462286357,-4.168520812019324
Hierro,27.757926141381,-18.009105855559
Zielo de Levante,40.40512320089061,0.06677132182120626
Es Figueral Nou Hotel Rural & Spa - Adults Only - Over 12,39.574507283455425,2.9917970538787886
Wyndham Grand Costa del Sol,36.515068325972564,-4.63362805816651
La Siesta Hostel,39.702978,-0.201313
Hotel Bodega FyA - GRUPO PIÉROLA,42.419343199636785,-2.5541899893798736
Boutique Suites,36.750911,-5.81165
Grupotel Macarella Suites & Spa,39.9285630161419,3.8374257087707497
Hostal Venta Del Sol,37.493204845156356,-2.7655720710754395
Vivienda Vacacional Las Nubes,28.3614272,-16.7474335
Can Joan Capo - Adults Only,39.64230940616133,3.012372851371765
Hotel Spa Calagrande Cabo de Gata,36.88155796160801,-2.0067402720451355
Hostal Jentoft,37.38935435720232,-6.002971529960632
Holiday Inn Express Molins de Rei by IHG,41.404303908147504,2.0217230916023254
Lewis&Peter Apartments Los Remedios,36.741927190011,-5.16496669206549
Ona Mar Menor Golf & Spa,37.74399632470193,-0.914778709429811
Hotel Bahía,43.460120869582184,-3.806239664554596
Catalonia Ronda,36.7427260146831,-5.16660411289752
Hotel Florida Magaluf - Adults Only,39.50919987252044,2.542974203824997
Gran Hotel Balneario De Puente Viesgo,43.2990919399006,-3.965420722961426
Hotel Montjoi by Brava Hoteles,41.77634653261767,3.02810400724411
Hotel Aubí,41.84917686343448,3.111838214099407
Aparthotel la Piramide,28.41423877274001,-13.852289915084839
Barceló Hamilton Menorca - Adults Only,39.880901794959996,4.293874803262611
Plaça De La Font,41.116900321463135,1.2556949257850647
Ramada by Wyndham Valencia Almussafes,39.31574,-0.420929
Pensión La Cantarera,36.53174912497683,-6.296252980828285
Cariad Boutique Bed & Breakfast,36.7214878,-4.3049353
Villa Palma,36.51521498967946,-4.891430533326115
Port Alicante City & Beach,38.36494489203489,-0.41749387979507446
Hotel Don Juan,38.363098391815164,-2.7901840209960938
Hotel Torino,41.48016628993083,2.321132719516754
Arcos Gardens Sol Rent Golf,36.72526405489401,-5.758659839630127
COMPLEJO ALDEA VETONIA check out hasta las 20h parque de mascotas zonas infantiles ideal grupos parejas familias infórmate,40.26978069713396,-5.8831800520420074
CASA RURAL BIERZO ENCANTADO,42.71919,-6.692952
Casa Rural Llano Campo,28.17123570023924,-17.186183079237367
KiCo,36.83243,-3.9747
Hotel Al-Andalus,36.75978244779867,-3.9514759182929993
GOLDEN TORREJON,40.4572619,-3.4718675
Alojamientos Rurales Benarum con Spa,36.98378184106822,-3.1540900468826294
Elba Vecindario Aeropuerto Business & Convention Hotel,27.840347359994944,-15.44103741645813
Holiday Inn Express Vitoria by IHG,42.828551381316196,-2.7494359016418457
B&B HOTEL Tarragona Centro Urbis,41.115136,1.249819
Casa Lina Sardina,28.161148842471295,-15.707073313861383
Agroturismo Ecologico el Cortijillo,37.5721338488122,-4.268504977226257
Sea to Sky Suites - Mijas Pueblo,36.595212459793,-4.638809220897
Los Amigos NEST hostel,28.03405133524741,-16.57559037208557
Holiday Inn Express Pamplona by IHG,42.78319290137633,-1.628149151802063
Apartamentos El Rincon Encantado,43.32634671092383,-5.012477869058785
B&B HOTEL Albacete,39.00777965564154,-1.8832013827341143
Hotel Pujol,28.143838991604422,-15.430657267570496
El Vicenç de la Mar - Adults Only - Over 12,39.91968,3.056563
Silken Al-Andalus Palace,37.354118119334174,-5.980223715305328
Palacio de Arce,43.41592912996776,-3.938000340475469
Casa bascara,42.1603264,2.9101616
Hotel Ventus,28.0466508,-16.5384637
Agroturisme Es Racó De Maria,39.67458063351799,3.0964978201293434
Casa Rodriguillo,38.366088490043,-1.047007020068
Hotel Caribe,39.00014259285203,1.5768760442733765
Hotel de Francia y París,36.5344136140381,-6.296206712722778
Hotel Roquiño,42.60507,-8.643477
Atico en playa muchavista san juan Estrella,38.38870263356243,-0.409692130649546
S'Hort de Son Caulelles - Adults Only,39.62148689434292,2.759740948677063
Hotel Mirador Arabeluj,37.169620870175514,-3.5858474263659446
Lopesan Baobab Resort,27.74099780000001,-15.599462980812064
Agroturismo Son Fogueró - Adults Only,39.65750074565948,3.0494337471770905
Hotel los Girasoles,37.42325444074771,-6.037231385707855
AC Hotel Zamora by Marriott,41.511833139471044,-5.737081711868086
Grupotel Playa de Palma Suites & Spa,39.513464742957716,2.7543184977548663
Occidental Jandía Playa,28.055459701995765,-14.325528144836426
Las Gaviotas Suites Hotel & Spa,39.81298232972246,3.1148868799209595
Hotel Ceuta Puerta de Africa,35.88835254279848,-5.3154730796813965
Hotel Lleó,41.38570195726838,2.166425585746765
La Villa del Karting,42.625134434864634,-6.603874962707518
B&B HOTEL Granada,37.21209669368215,-3.618943691253662
Agroturismo Ses Illes,39.67910536572951,2.971044928272022
Welikehotel Marfil Playa,39.57638762652701,3.3751371502330585
Hotel Cisneros,40.47129800417275,-3.3663010597229004
Lua Hotel Boutique,27.70255438701509,-17.98138664054489
Hotel & Spa Real Badaguás Jaca,42.58442128839623,-0.46404629945755005
Hotel Zielo Las Beatas,38.73948630780659,-2.7653617207107573
Apartaments Els Llorers,41.707696904521555,2.863534390926361
MYND Yaiza,28.867521,-13.821581
Masia Can Canyes & Spa,41.465835273375355,1.8286550045013428
"Casa Medina - Charming Private Villa with Nature and Sea View, 25 minutes from Malaga",36.773758151391,-4.252070669281
"Casa Rural La Salamandrija- con chimenea, patio y barbacoa",39.148278944811,-6.437811560309
R2 Maryvent Beach Apartments,28.1587052059739,-14.2269496401977
Apartamentos Solmares,37.185793184015274,-7.3403966428668355
Hotel Hacienda del Conde Meliá Collection Golf & Spa - Adults Only,28.369364208851092,-16.858847737312317
Hotel Boutique Bahía de Plentzia,43.404174480657495,-2.9496896266937296
Aparto Residence Galetamar,38.6525693036862,0.0760728120803833
Habitaciones La Cuevona de Guitiriz Lugo,43.15310746002768,-7.836560239124988
Apartamentos Rurales El Tio Pablo Picos de Europa Tresviso,43.25643992602915,-4.668256044387817
Hotel Ciudad de Navalcarnero,40.29396243652391,-3.9773109555244446
Exe Pozuelo,40.39843725861292,-3.788071721792221
Palacio Marques de la Gomera,37.239139362592674,-5.10663628578186
Salles Ciutat del Prat Barcelona Airport,41.325070374060935,2.087152898311615
Casa Mocan,28.9632476,-13.546258557672001
ibis budget Huerta De Murcia,38.0005704,-1.148259
"El Jardín del Convento, Casa Rural",40.273063284595054,-5.856618136167526
Ok Hostel Madrid,40.4111215927952,-3.7067892822090016
LA POSADA DE HIGUERUELA,38.9631,-1.4442
